stockDate,stockName,stockTicker,RSI,MACD,stochasticOperator,Volume,Price,PriceChange
2022-03-08,3M,MMM,51.4062390433156,-0.094951047916652,22.6051345218477,4605300,145.39999,2.11999
2022-03-09,3M,MMM,57.2914409860247,-0.0409482697195074,31.9784450806609,3337300,146.60001,1.20002
2022-03-10,3M,MMM,44.4052195033966,-0.131064995403193,11.4546708648994,3794000,143.92999,-2.67001999999999
2022-03-11,3M,MMM,34.9802073487236,-0.338826442225752,0,4148700,140.96001,-2.96997999999999
2022-03-14,3M,MMM,45.5420391931205,-0.35147426636135,16.2440257246645,3910100,143.48,2.51998999999998
2022-03-15,3M,MMM,48.5088523646031,-0.311465922543874,20.8069642553895,3337300,144.31,0.830000000000013
2022-03-16,3M,MMM,52.5349729143231,-0.21197977357059,26.9991103474471,3813800,145.50999,1.19998999999999
2022-03-17,3M,MMM,58.8325527617945,-0.0122413770531864,36.6847454297482,2786700,147.69,2.18001000000001
2022-03-18,3M,MMM,60.4650584068696,0.173937431013229,39.1955280368704,7881800,148.32001,0.630009999999999
2022-03-21,3M,MMM,61.149739869317,0.327553173433529,40.2485634811997,4514900,148.58,0.259990000000016
2022-03-22,3M,MMM,64.6030838730987,0.522482414144207,45.5597831313502,4252000,149.94,1.35999999999999
2022-03-23,3M,MMM,55.7367569107067,0.524799463901672,65.614642712606,2637200,147.67999,-2.26000999999999
2022-03-24,3M,MMM,59.2050656262929,0.602096848979812,81.7775352020118,2028100,148.98,1.30000999999999
2022-03-25,3M,MMM,62.780641815313,0.749118073057275,93.8478558748808,2247800,150.46001,1.48001000000002
2022-03-28,3M,MMM,59.0521343920109,0.788861314805331,81.2612746215913,2679900,149.47,-0.990010000000012
2022-03-29,3M,MMM,64.9603301406999,0.982788906501895,100,2693200,152.08,2.61000000000001
2022-03-30,3M,MMM,62.5401551169038,1.07761917069055,91.9274012298447,2395100,151.42999,-0.650010000000009
2022-03-31,3M,MMM,54.0350915215855,0.965148039983831,43.7373832300299,3193800,148.88,-2.54999000000001
